Model,RMSE,MAE,MAPE,Median AE,R2,Adjusted R2
Extra Trees,25242.620511482928,16188.452000000001,10.081139375084497,10035.5,0.9090418587494069,0.902906852154792
Gradient Boosting,27190.810064368186,17027.43991131263,9.956004527409954,11005.915568290628,0.8944600236145678,0.887341491482999
Random Forest,28044.14079408551,17548.28667579909,10.427761020215714,10063.5,0.887731743595829,0.8801593978559582
XGBoost,28426.54646628746,17106.0,9.980647877247199,9535.90625,0.8846490979194641,0.87686883179673
AdaBoost,34061.03989657788,23757.016358180823,15.83155545154156,16801.891696750914,0.8343892567525121,0.8232190306683707
